2026-05-21 15:20:01 status unpacked libtasn1-6:armhf 4.19.0-2+deb12u1
2026-05-21 15:20:02 install libtinfo6:armhf <none> 6.4-4
2026-05-21 15:20:02 status half-installed libtinfo6:armhf 6.4-4
2026-05-21 15:20:02 status unpacked libtinfo6:armhf 6.4-4
2026-05-21 15:20:03 install libudev1:armhf <none> 252.39-1~deb12u2
2026-05-21 15:20:03 status half-installed libudev1:armhf 252.39-1~deb12u2
2026-05-21 15:20:03 status unpacked libudev1:armhf 252.39-1~deb12u2
2026-05-21 15:20:03 install libunistring2:armhf <none> 1.0-2
2026-05-21 15:20:03 status half-installed libunistring2:armhf 1.0-2
2026-05-21 15:20:04 status unpacked libunistring2:armhf 1.0-2
2026-05-21 15:20:04 install libuuid1:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:20:04 status half-installed libuuid1:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:05 status unpacked libuuid1:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:05 install libxxhash0:armhf <none> 0.8.1-1
2026-05-21 15:20:05 status half-installed libxxhash0:armhf 0.8.1-1
2026-05-21 15:20:06 status unpacked libxxhash0:armhf 0.8.1-1
2026-05-21 15:20:06 install libzstd1:armhf <none> 1.5.4+dfsg2-5
2026-05-21 15:20:06 status half-installed libzstd1:armhf 1.5.4+dfsg2-5
2026-05-21 15:20:06 status unpacked libzstd1:armhf 1.5.4+dfsg2-5
2026-05-21 15:20:07 install login:armhf <none> 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:07 status half-installed login:armhf 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:08 status unpacked login:armhf 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:08 install logsave:armhf <none> 1.47.0-2+b2
2026-05-21 15:20:08 status half-installed logsave:armhf 1.47.0-2+b2
2026-05-21 15:20:09 status unpacked logsave:armhf 1.47.0-2+b2
2026-05-21 15:20:09 upgrade mawk:armhf 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2026-05-21 15:20:09 status half-configured mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:20:09 status unpacked mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:20:09 status half-installed mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:20:10 status unpacked mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:20:10 install mount:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:20:10 status half-installed mount:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:10 status unpacked mount:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:11 install ncurses-base:all <none> 6.4-4
2026-05-21 15:20:11 status half-installed ncurses-base:all 6.4-4
2026-05-21 15:20:11 status unpacked ncurses-base:all 6.4-4
2026-05-21 15:20:12 install ncurses-bin:armhf <none> 6.4-4
2026-05-21 15:20:12 status half-installed ncurses-bin:armhf 6.4-4
2026-05-21 15:20:12 status unpacked ncurses-bin:armhf 6.4-4
2026-05-21 15:20:13 install passwd:armhf <none> 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:13 status half-installed passwd:armhf 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:13 status unpacked passwd:armhf 1:4.13+dfsg1-1+deb12u2
2026-05-21 15:20:14 upgrade perl-base:armhf 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2026-05-21 15:20:14 status half-configured perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:20:14 status unpacked perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:20:14 status half-installed perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:20:16 status unpacked perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:20:16 install sed:armhf <none> 4.9-1+deb12u1
2026-05-21 15:20:16 status half-installed sed:armhf 4.9-1+deb12u1
2026-05-21 15:20:17 status unpacked sed:armhf 4.9-1+deb12u1
2026-05-21 15:20:17 install sysvinit-utils:armhf <none> 3.06-4
2026-05-21 15:20:17 status half-installed sysvinit-utils:armhf 3.06-4
2026-05-21 15:20:18 status unpacked sysvinit-utils:armhf 3.06-4
2026-05-21 15:20:18 install tar:armhf <none> 1.34+dfsg-1.2+deb12u1
2026-05-21 15:20:18 status half-installed tar:armhf 1.34+dfsg-1.2+deb12u1
2026-05-21 15:20:19 status unpacked tar:armhf 1.34+dfsg-1.2+deb12u1
2026-05-21 15:20:19 install tzdata:all <none> 2026b-0+deb12u1
2026-05-21 15:20:19 status half-installed tzdata:all 2026b-0+deb12u1
2026-05-21 15:20:23 status unpacked tzdata:all 2026b-0+deb12u1
2026-05-21 15:20:23 install usr-is-merged:all <none> 37~deb12u1
2026-05-21 15:20:23 status half-installed usr-is-merged:all 37~deb12u1
2026-05-21 15:20:24 status unpacked usr-is-merged:all 37~deb12u1
2026-05-21 15:20:24 install util-linux:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:20:24 status half-installed util-linux:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:25 status unpacked util-linux:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:25 install util-linux-extra:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:20:25 status half-installed util-linux-extra:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:26 status unpacked util-linux-extra:armhf 2.38.1-5+deb12u3
2026-05-21 15:20:26 install zlib1g:armhf <none> 1:1.2.13.dfsg-1
2026-05-21 15:20:26 status half-installed zlib1g:armhf 1:1.2.13.dfsg-1
2026-05-21 15:20:27 status unpacked zlib1g:armhf 1:1.2.13.dfsg-1
2026-05-21 15:20:27 startup packages configure
2026-05-21 15:20:27 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2026-05-21 15:20:27 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2026-05-21 15:20:28 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2026-05-21 15:20:32 status installed debian-archive-keyring:all 2023.3+deb12u2
2026-05-21 15:20:32 configure usr-is-merged:all 37~deb12u1 <none>
2026-05-21 15:20:32 status unpacked usr-is-merged:all 37~deb12u1
2026-05-21 15:20:32 status half-configured usr-is-merged:all 37~deb12u1
2026-05-21 15:20:32 status installed usr-is-merged:all 37~deb12u1
2026-05-21 15:20:32 configure libaudit-common:all 1:3.0.9-1 <none>
2026-05-21 15:20:32 status unpacked libaudit-common:all 1:3.0.9-1
2026-05-21 15:20:32 status half-configured libaudit-common:all 1:3.0.9-1
2026-05-21 15:20:32 status installed libaudit-common:all 1:3.0.9-1
2026-05-21 15:20:32 configure libsemanage-common:all 3.4-1 <none>
2026-05-21 15:20:32 status unpacked libsemanage-common:all 3.4-1
2026-05-21 15:20:32 status half-configured libsemanage-common:all 3.4-1
2026-05-21 15:20:32 status installed libsemanage-common:all 3.4-1
2026-05-21 15:20:32 configure debconf:all 1.5.82 <none>
2026-05-21 15:20:32 status unpacked debconf:all 1.5.82
2026-05-21 15:20:33 status half-configured debconf:all 1.5.82
2026-05-21 15:20:34 status installed debconf:all 1.5.82
2026-05-21 15:20:34 configure gcc-12-base:armhf 12.2.0-14+deb12u1 <none>
2026-05-21 15:20:34 status unpacked gcc-12-base:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:34 status half-configured gcc-12-base:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:34 status installed gcc-12-base:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:34 configure tzdata:all 2026b-0+deb12u1 <none>
2026-05-21 15:20:34 status unpacked tzdata:all 2026b-0+deb12u1
2026-05-21 15:20:34 status half-configured tzdata:all 2026b-0+deb12u1
2026-05-21 15:20:38 status installed tzdata:all 2026b-0+deb12u1
2026-05-21 15:20:38 configure ncurses-base:all 6.4-4 <none>
2026-05-21 15:20:38 status unpacked ncurses-base:all 6.4-4
2026-05-21 15:20:38 status half-configured ncurses-base:all 6.4-4
2026-05-21 15:20:38 status installed ncurses-base:all 6.4-4
2026-05-21 15:20:38 configure init-system-helpers:all 1.65.2+deb12u1 <none>
2026-05-21 15:20:38 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-05-21 15:20:38 status half-configured init-system-helpers:all 1.65.2+deb12u1
2026-05-21 15:20:39 status installed init-system-helpers:all 1.65.2+deb12u1
2026-05-21 15:20:39 configure libgcc-s1:armhf 12.2.0-14+deb12u1 <none>
2026-05-21 15:20:39 status unpacked libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:39 status half-configured libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:39 status installed libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:20:39 configure libc6:armhf 2.36-9+deb12u14 <none>
2026-05-21 15:20:39 status unpacked libc6:armhf 2.36-9+deb12u14
2026-05-21 15:20:39 status half-configured libc6:armhf 2.36-9+deb12u14
2026-05-21 15:20:40 status installed libc6:armhf 2.36-9+deb12u14
2026-05-21 15:20:40 configure libudev1:armhf 252.39-1~deb12u2 <none>
2026-05-21 15:20:40 status unpacked libudev1:armhf 252.39-1~deb12u2
2026-05-21 15:20:41 status half-configured libudev1:armhf 252.39-1~deb12u2
2026-05-21 15:20:41 status installed libudev1:armhf 252.39-1~deb12u2
